Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0.54,177,29.2,0.003,24.5,,,
0.6,197,35.3,0.003,24.5,,,
0.66,217,41,0.003,24.5,,,
0.72,237,46.5,0.003,24.5,,,
0.78,257,51.8,0.003,24.5,,,
0.84,277,57.1,0.003,24.5,,,
0.9,298,62.4,0.003,24.5,,,
0.96,316,67.8,0.0035,24.6,,,
1.02,336,73.6,0.003,24.6,,,
1.08,354,79.6,0.0035,24.6,,,
1.14,372,86.5,0.0035,24.6,,,
1.2,390,94.9,0.0035,24.6,,,
1.26,407,105.2,0.0035,24.6,235.5,2.37,
1.32,422,119.8,0.004,24.6,293.25,2.47,
1.38,433,142,0.0055,24.6,331.39,2.52,
1.44,442,166.7,0.007,24.6,328.17,2.52,
1.5,448,182.7,0.0105,24.6,275.87,2.44,
1.53,544,188.4,0.0005,24.7,227.64,2.36,
1.56,550,193.2,0.0055,24.7,165.1,2.22,
1.59,555,197.3,0.006,24.7,121.24,2.08,
1.62,560,200.9,0.0055,24.7,108.4,2.04,
1.65,566,204.1,0.0055,24.7,98.18,1.99,
1.68,571,206.8,0.0065,24.7,87.75,1.94,
1.71,576,209.3,0.006,24.7,79.58,1.9,
1.74,581,211.7,0.006,24.7,73.11,1.86,
1.77,586,213.7,0.006,24.7,68.17,1.83,
1.8,591,215.7,0.006,24.7,63.43,1.8,
1.83,596,217.6,0.0055,24.7,58.92,1.77,
1.86,601,219.3,0.0055,24.7,54.9,1.74,
1.89,606,220.9,0.0055,24.7,51.61,1.71,
1.92,612,222.3,0.0055,24.7,48.08,1.68,
1.95,617,223.8,0.0065,24.7,45.61,1.66,
1.98,622,225.1,0.0065,24.7,43.61,1.64,
2.01,627,226.4,0.006,24.7,41.81,1.62,
2.04,632,227.6,0.006,24.7,40,1.6,
2.07,637,228.8,0.0055,24.7,38.14,1.58,
2.1,642,229.9,0.0055,24.7,36.47,1.56,
2.13,647,231,0.0055,24.7,35,1.54,
2.16,652,232,0.0055,24.7,,,
2.19,658,233,0.0055,24.7,,,
2.22,663,233.9,0.0065,24.7,,,
2.25,668,234.9,0.006,24.7,,,
2.28,673,235.7,0.006,24.7,,,
Scope 1/1, Sample 1/18 (Junk3),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-72.5,NaN,24.1,,,
0.06,9,-76.2,0.0065,24.1,,,
0.12,29,-67,0.003,24.1,,,
0.18,49,-54.8,0.003,24.1,,,
0.24,69,-37.6,0.003,24.1,,,
0.3,90,-15.9,0.003,24.1,,,
0.36,110,0.2,0.003,24.1,,,
0.42,130,11.2,0.003,24.1,,,
0.48,150,20,0.003,24.2,,,
0.54,170,27.7,0.003,24.2,,,
0.6,190,34.9,0.003,24.2,,,
0.66,210,41.8,0.003,24.2,,,
0.72,230,48.4,0.003,24.2,,,
0.78,250,54.8,0.003,24.2,,,
0.84,271,61.2,0.003,24.2,,,
0.9,291,67.8,0.003,24.2,,,
0.96,311,74.8,0.003,24.3,,,
1.02,331,82.5,0.003,24.3,,,
1.08,351,91.3,0.003,24.3,,,
1.14,370,102.4,0.003,24.3,253.18,2.4,
1.2,387,118.2,0.0035,24.3,311.04,2.49,
1.26,399,142.3,0.005,24.3,347.39,2.54,
1.32,408,167.5,0.007,24.3,338.65,2.53,
1.38,414,183.4,0.01,24.3,277.97,2.44,
1.41,510,188.8,0.0005,24.4,224.56,2.35,
1.44,516,193.7,0.005,24.4,158.66,2.2,
1.47,522,197.6,0.005,24.4,117.1,2.07,
1.5,528,201.1,0.0055,24.4,105.62,2.02,
1.53,533,204.2,0.0065,24.4,96.72,1.99,
1.56,538,206.9,0.006,24.4,87.15,1.94,
1.59,543,209.5,0.006,24.4,79.58,1.9,
1.62,548,211.7,0.006,24.4,72.81,1.86,
1.65,553,213.9,0.0055,24.4,66.85,1.83,
1.68,558,215.8,0.0055,24.4,62.01,1.79,
1.71,564,217.5,0.0055,24.4,57.91,1.76,
1.74,569,219.3,0.0065,24.4,54.6,1.74,
1.77,574,220.8,0.006,24.4,51.41,1.71,
1.8,579,222.4,0.006,24.4,49.01,1.69,
1.83,584,223.8,0.006,24.4,45.94,1.66,
1.86,589,225.1,0.0055,24.4,43.28,1.64,
1.89,594,226.4,0.0055,24.4,41.14,1.61,
1.92,599,227.6,0.0055,24.4,39.27,1.59,
1.95,604,228.7,0.0055,24.4,38.01,1.58,
1.98,610,229.9,0.0055,24.4,36.13,1.56,
2.01,615,230.9,0.0065,24.4,34.66,1.54,
2.04,620,232,0.006,24.4,,,
2.07,625,232.9,0.006,24.4,,,
2.1,630,233.8,0.006,24.4,,,
2.13,635,234.8,0.006,24.4,,,
2.16,640,235.6,0.006,24.4,,,
Scope 1/1, Sample 1/18 (Tank9_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-80.2,NaN,22.4,,,
0.06,8,-83.5,0.0075,22.3,,,
0.12,28,-75.1,0.003,22.3,,,
0.18,48,-64.6,0.003,22.3,,,
0.24,68,-50.8,0.003,22.4,,,
0.3,88,-30.9,0.003,22.4,,,
0.36,108,-9,0.003,22.4,,,
0.42,129,4.4,0.003,22.5,,,
0.48,149,14.7,0.003,22.5,,,
0.54,169,23.3,0.003,22.5,,,
0.6,189,31.1,0.003,22.6,,,
0.66,209,38.5,0.003,22.6,,,
0.72,229,45.6,0.003,22.6,,,
0.78,249,52.8,0.003,22.7,,,
0.84,270,59.7,0.003,22.7,,,
0.9,290,66.7,0.003,22.7,,,
0.96,310,74.4,0.003,22.7,,,
1.02,330,82.9,0.003,22.8,,,
1.08,350,92.6,0.003,22.8,,,
1.14,370,105.5,0.003,22.8,289.67,2.46,
1.2,387,124.9,0.0035,22.9,339.58,2.53,
1.26,398,152.5,0.0055,22.9,358.36,2.55,
1.32,405,174.3,0.0085,22.9,326.85,2.51,
1.38,411,187.5,0.0095,22.9,247.55,2.39,
1.41,507,192.5,0.0005,23,185.9,2.27,
1.44,514,196.7,0.0045,23,126.57,2.1,
1.47,519,200.2,0.006,23,104.19,2.02,
1.5,525,203.3,0.005,23.1,95.92,1.98,
1.53,531,206.1,0.0055,23.1,87.07,1.94,
1.56,536,208.6,0.0065,23.1,79.53,1.9,
1.59,541,210.9,0.006,23.1,73.31,1.87,
1.62,546,213,0.0055,23.1,67.69,1.83,
1.65,552,215,0.0055,23.1,62.89,1.8,
1.68,557,216.8,0.0065,23.1,58.56,1.77,
1.71,562,218.5,0.006,23.1,54.94,1.74,
1.74,567,220.1,0.006,23.1,51.42,1.71,
1.77,572,221.6,0.006,23.1,48.6,1.69,
1.8,577,223,0.0055,23.1,46.15,1.66,
1.83,582,224.4,0.0055,23.1,43.61,1.64,
1.86,588,225.6,0.0055,23.1,41.47,1.62,
1.89,593,226.9,0.0065,23.1,39.48,1.6,
1.92,598,228,0.0065,23.2,37.8,1.58,
1.95,603,229.1,0.006,23.2,36.15,1.56,
1.98,608,230.2,0.006,23.2,34.46,1.54,
2.01,613,231.2,0.006,23.2,,,
2.04,618,232.2,0.006,23.2,,,
2.07,623,233.1,0.0055,23.2,,,
2.1,628,234,0.0055,23.2,,,
2.13,634,235,0.0055,23.2,,,
Scope 1/1, Sample 1/18 (Tank10_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-76.8,NaN,22.6,,,
0.06,9,-80.4,0.0065,22.5,,,
0.12,29,-71.6,0.003,22.5,,,
0.18,49,-60.5,0.003,22.5,,,
0.24,69,-45.3,0.003,22.6,,,
0.3,90,-24.2,0.003,22.6,,,
0.36,110,-4.8,0.003,22.6,,,
0.42,130,7.3,0.003,22.7,,,
0.48,150,16.8,0.003,22.7,,,
0.54,170,25,0.003,22.7,,,
0.6,190,32.5,0.003,22.8,,,
0.66,210,39.6,0.003,22.8,,,
0.72,230,46.4,0.003,22.8,,,
0.78,250,53.1,0.003,22.9,,,
0.84,271,59.8,0.003,22.9,,,
0.9,291,66.5,0.003,22.9,,,
0.96,311,73.7,0.003,23,,,
1.02,331,81.8,0.003,23,,,
1.08,351,90.9,0.003,23,,,
1.14,370,102.5,0.003,23,267.12,2.43,
1.2,388,119.5,0.0035,23.1,323.44,2.51,
1.26,400,145.3,0.005,23.1,354.71,2.55,
1.32,409,169.7,0.007,23.1,338.46,2.53,
1.38,415,184.6,0.01,23.1,270.14,2.43,
1.41,512,190.1,0.0005,23.2,212.37,2.33,
1.44,517,194.6,0.0055,23.2,146.72,2.17,
1.47,523,198.3,0.005,23.2,111.38,2.05,
1.5,529,201.7,0.0055,23.3,101.16,2.01,
1.53,534,204.6,0.006,23.3,92.34,1.97,
1.56,539,207.3,0.006,23.3,84.36,1.93,
1.59,544,209.7,0.0055,23.3,77.62,1.89,
1.62,550,211.9,0.005,23.3,71.17,1.85,
1.65,555,214.1,0.006,23.3,66.07,1.82,
1.68,560,215.9,0.006,23.3,61.03,1.79,
1.71,565,217.7,0.006,23.3,56.76,1.75,
1.74,570,219.3,0.0055,23.3,52.74,1.72,
1.77,575,220.9,0.0055,23.3,49.75,1.7,
1.8,581,222.3,0.0055,23.3,47.28,1.67,
1.83,586,223.7,0.0065,23.3,44.61,1.65,
1.86,591,225,0.0065,23.3,42.66,1.63,
1.89,596,226.3,0.006,23.3,40.62,1.61,
1.92,601,227.4,0.006,23.4,38.8,1.59,
1.95,606,228.6,0.006,23.4,37,1.57,
1.98,611,229.7,0.0055,23.4,35.47,1.55,
2.01,616,230.7,0.0055,23.4,33.95,1.53,
2.04,622,231.7,0.005,23.4,,,
2.07,627,232.7,0.006,23.4,,,
2.1,632,233.6,0.006,23.4,,,
2.13,637,234.5,0.006,23.4,,,
2.16,642,235.4,0.006,23.4,,,
Scope 1/1, Sample 1/18 (Tank11_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-61.3,NaN,23.2,,,
0.06,10,-68,0.006,23.2,,,
0.12,30,-57.5,0.003,23.2,,,
0.18,50,-43,0.003,23.2,,,
0.24,70,-23.4,0.003,23.2,,,
0.3,90,-5.6,0.003,23.3,,,
0.36,110,5.1,0.003,23.3,,,
0.42,130,14,0.003,23.3,,,
0.48,151,21.4,0.003,23.3,,,
0.54,171,28,0.003,23.4,,,
0.6,191,34.1,0.003,23.4,,,
0.66,211,39.9,0.003,23.4,,,
0.72,231,45.5,0.003,23.4,,,
0.78,251,50.9,0.003,23.5,,,
0.84,271,56.3,0.003,23.5,,,
0.9,292,61.6,0.003,23.5,,,
0.96,312,67.1,0.003,23.5,,,
1.02,332,72.9,0.003,23.6,,,
1.08,350,79,0.003,23.6,,,
1.14,369,86,0.003,23.6,,,
1.2,386,94.2,0.0035,23.6,,,
1.26,403,104.6,0.0035,23.6,236.53,2.37,
1.32,419,119.5,0.0035,23.7,293.94,2.47,
1.38,431,141.6,0.005,23.7,331.78,2.52,
1.44,439,166.3,0.007,23.7,328.1,2.52,
1.5,446,182.2,0.0085,23.7,274.71,2.44,
1.53,542,187.8,0.0005,23.8,226.29,2.35,
1.56,548,192.7,0.0055,23.8,164.42,2.22,
1.59,553,196.8,0.0055,23.8,120.84,2.08,
1.62,559,200.3,0.005,23.8,108.06,2.03,
1.65,564,203.5,0.006,23.8,97.87,1.99,
1.68,569,206.2,0.0055,23.8,87.42,1.94,
1.71,574,208.8,0.0055,23.8,79.92,1.9,
1.74,579,211,0.0055,23.8,73.31,1.87,
1.77,584,213.2,0.0055,23.8,67.5,1.83,
1.8,590,215.1,0.0055,23.9,62.74,1.8,
1.83,595,217,0.0065,23.9,58.04,1.76,
1.86,600,218.6,0.006,23.9,54.41,1.74,
1.89,605,220.2,0.006,23.9,51.09,1.71,
1.92,610,221.7,0.006,23.9,48.8,1.69,
1.95,615,223.1,0.0055,23.9,46.09,1.66,
1.98,620,224.5,0.0055,23.9,44.18,1.65,
2.01,626,225.8,0.0055,23.9,41.81,1.62,
2.04,631,227,0.006,23.9,39.61,1.6,
2.07,636,228.1,0.006,23.9,37.66,1.58,
2.1,641,229.3,0.006,23.9,35.61,1.55,
2.13,646,230.3,0.006,23.9,34.27,1.53,
2.16,652,231.3,0.0055,23.9,,,
2.19,657,232.3,0.0065,23.9,,,
2.22,662,233.2,0.0065,23.9,,,
2.25,667,234.2,0.0065,23.9,,,
2.28,672,235.1,0.006,23.9,,,
Scope 1/1, Sample 1/18 (Tank12_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-73.8,NaN,23.9,,,
0.06,13,-75.6,0.0045,23.9,,,
0.12,33,-66.7,0.003,23.9,,,
0.18,53,-55,0.003,23.9,,,
0.24,73,-38.5,0.003,23.9,,,
0.3,93,-17.4,0.003,23.9,,,
0.36,114,-1.7,0.003,24,,,
0.42,134,8.8,0.003,24,,,
0.48,154,17.4,0.003,24,,,
0.54,174,24.9,0.003,24,,,
0.6,194,31.7,0.003,24,,,
0.66,214,38,0.003,24.1,,,
0.72,234,44,0.003,24.1,,,
0.78,254,49.8,0.003,24.1,,,
0.84,274,55.7,0.003,24.1,,,
0.9,294,61.5,0.003,24.1,,,
0.96,315,67.3,0.003,24.2,,,
1.02,335,73.5,0.003,24.2,,,
1.08,355,80.3,0.003,24.2,,,
1.14,375,87.9,0.003,24.2,,,
1.2,395,97.1,0.003,24.2,,,
1.26,412,109.1,0.0035,24.3,271.29,2.43,
1.32,426,127.2,0.0045,24.3,321.22,2.51,
1.38,436,152.9,0.0055,24.3,342.12,2.53,
1.44,444,174.5,0.0075,24.3,315.52,2.5,
1.5,450,187.5,0.0095,24.3,243.67,2.39,
1.53,546,192.5,0.0005,24.4,186.51,2.27,
1.56,553,196.7,0.0045,24.4,129.67,2.11,
1.59,558,200.2,0.006,24.4,105.38,2.02,
1.62,563,203.4,0.0055,24.4,97.82,1.99,
1.65,569,206.3,0.005,24.4,88.94,1.95,
1.68,575,208.8,0.005,24.4,81.2,1.91,
1.71,580,211.1,0.006,24.4,74.5,1.87,
1.74,585,213.3,0.0055,24.4,68.35,1.83,
1.77,590,215.3,0.0055,24.4,63.36,1.8,
1.8,596,217.1,0.0055,24.4,58.9,1.77,
1.83,601,218.8,0.0065,24.4,54.75,1.74,
1.86,606,220.4,0.0065,24.4,51.42,1.71,
1.89,611,221.9,0.006,24.4,48.75,1.69,
1.92,616,223.3,0.006,24.4,46.47,1.67,
1.95,621,224.7,0.006,24.4,44.14,1.64,
1.98,626,226,0.0055,24.4,42.13,1.62,
2.01,631,227.2,0.0055,24.4,40.15,1.6,
2.04,636,228.4,0.0055,24.4,38.33,1.58,
2.07,642,229.5,0.0055,24.4,36.28,1.56,
2.1,647,230.6,0.0065,24.5,35,1.54,
2.13,652,231.6,0.0065,24.5,,,
2.16,657,232.6,0.006,24.5,,,
2.19,662,233.5,0.006,24.5,,,
2.22,667,234.5,0.006,24.5,,,
2.25,672,235.3,0.006,24.5,,,
Scope 1/1, Sample 1/18 (Tank13_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-63.5,NaN,24.3,,,
0.06,18,-67.1,0.0035,24.3,,,
0.12,38,-56.4,0.003,24.3,,,
0.18,58,-42,0.003,24.3,,,
0.24,78,-21.7,0.003,24.4,,,
0.3,98,-4.7,0.003,24.4,,,
0.36,118,6.2,0.003,24.4,,,
0.42,138,15.1,0.003,24.4,,,
0.48,158,22.5,0.003,24.4,,,
0.54,178,29.1,0.003,24.5,,,
0.6,199,35.2,0.003,24.5,,,
0.66,219,41.1,0.003,24.5,,,
0.72,239,46.7,0.003,24.5,,,
0.78,259,52.1,0.003,24.5,,,
0.84,279,57.5,0.003,24.5,,,
0.9,299,62.9,0.003,24.6,,,
0.96,318,68.2,0.003,24.6,,,
1.02,337,74.3,0.003,24.6,,,
1.08,358,80.8,0.003,24.6,,,
1.14,375,87.8,0.0035,24.6,,,
1.2,395,96.7,0.003,24.6,,,
1.26,411,107.7,0.004,24.7,252.43,2.4,
1.32,426,124,0.004,24.7,306.57,2.49,
1.38,436,147.9,0.006,24.7,336.37,2.53,
1.44,444,171.2,0.008,24.7,321.09,2.51,
1.5,450,185.5,0.0095,24.7,259.22,2.41,
1.53,546,190.8,0.0005,24.8,206.23,2.31,
1.56,552,195.3,0.005,24.8,146.34,2.17,
1.59,558,199.1,0.005,24.8,112.38,2.05,
1.62,563,202.5,0.0055,24.8,102.82,2.01,
1.65,569,205.5,0.005,24.8,92.88,1.97,
1.68,575,208.1,0.0055,24.8,83.82,1.92,
1.71,580,210.5,0.0055,24.8,76.97,1.89,
1.74,586,212.7,0.005,24.8,70.64,1.85,
1.77,591,214.8,0.006,24.8,65.35,1.82,
1.8,596,216.7,0.006,24.8,60.75,1.78,
1.83,602,218.5,0.005,24.8,56.57,1.75,
1.86,607,220,0.006,24.8,53.09,1.72,
1.89,612,221.6,0.006,24.8,49.75,1.7,
1.92,617,223.1,0.006,24.8,47.45,1.68,
1.95,622,224.5,0.0055,24.8,45.3,1.66,
1.98,628,225.8,0.005,24.8,43.33,1.64,
2.01,634,227,0.0055,24.8,40.81,1.61,
2.04,639,228.3,0.0055,24.8,38.8,1.59,
2.07,645,229.4,0.005,24.8,37.13,1.57,
2.1,650,230.5,0.0055,24.8,35.49,1.55,
2.13,655,231.5,0.0055,24.8,,,
2.16,660,232.5,0.0055,24.8,,,
2.19,666,233.5,0.0055,24.8,,,
2.22,671,234.4,0.0065,24.8,,,
2.25,676,235.3,0.0065,24.8,,,
Scope 1/1, Sample 1/18 (Tank14_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-75.9,NaN,24.5,,,
0.06,10,-77.3,0.006,24.5,,,
0.12,30,-68.4,0.003,24.5,,,
0.18,51,-57.2,0.003,24.5,,,
0.24,71,-41.5,0.003,24.5,,,
0.3,91,-20.8,0.003,24.5,,,
0.36,111,-3.8,0.003,24.6,,,
0.42,131,7.4,0.003,24.6,,,
0.48,151,16.5,0.003,24.6,,,
0.54,171,24.2,0.003,24.6,,,
0.6,192,31.2,0.003,24.6,,,
0.66,212,37.8,0.003,24.6,,,
0.72,232,43.9,0.003,24.7,,,
0.78,252,49.9,0.003,24.7,,,
0.84,272,55.8,0.003,24.7,,,
0.9,292,61.6,0.003,24.7,,,
0.96,312,67.7,0.003,24.7,,,
1.02,332,74,0.003,24.7,,,
1.08,351,80.7,0.003,24.8,,,
1.14,371,88.7,0.003,24.8,,,
1.2,388,98,0.0035,24.8,,,
1.26,405,110.6,0.0035,24.8,277.25,2.44,
1.32,419,129.5,0.0045,24.8,324.24,2.51,
1.38,429,155,0.006,24.8,340.15,2.53,
1.44,436,175.8,0.0085,24.8,309.56,2.49,
1.5,442,188.4,0.0095,24.8,235.54,2.37,
1.53,539,193.2,0.0005,24.9,178.9,2.25,
1.56,544,197.3,0.006,24.9,125.64,2.1,
1.59,549,200.8,0.006,24.9,104.07,2.02,
1.62,555,204,0.0055,24.9,96.91,1.99,
1.65,560,206.8,0.006,24.9,88.13,1.95,
1.68,565,209.3,0.0055,24.9,80.07,1.9,
1.71,571,211.6,0.0055,24.9,73.3,1.87,
1.74,576,213.7,0.0065,24.9,67.5,1.83,
1.77,581,215.7,0.006,24.9,62.89,1.8,
1.8,586,217.5,0.006,24.9,58.56,1.77,
1.83,591,219.2,0.006,24.9,54.75,1.74,
1.86,596,220.8,0.0055,24.9,51.61,1.71,
1.89,601,222.3,0.0055,24.9,48.75,1.69,
1.92,606,223.7,0.0055,24.9,46.66,1.67,
1.95,612,225.1,0.0055,24.9,44.14,1.64,
1.98,617,226.4,0.0065,24.9,41.79,1.62,
2.01,622,227.6,0.006,24.9,39.48,1.6,
2.04,627,228.8,0.006,24.9,37.28,1.57,
2.07,632,229.8,0.006,24.9,35.61,1.55,
2.1,637,230.9,0.0055,24.9,34.48,1.54,
2.13,642,231.9,0.0055,25,,,
2.16,648,232.9,0.0055,25,,,
2.19,653,233.9,0.0065,25,,,
2.22,658,234.8,0.0065,25,,,
2.25,663,235.7,0.0065,25,,,
Scope 1/1, Sample 1/18 (Tank15_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-59.8,NaN,24.7,,,
0.06,17,-64.8,0.0035,24.7,,,
0.12,37,-53.8,0.003,24.7,,,
0.18,57,-38.5,0.003,24.7,,,
0.24,77,-17.6,0.003,24.7,,,
0.3,98,-2.3,0.003,24.8,,,
0.36,118,8,0.003,24.8,,,
0.42,138,16.5,0.003,24.8,,,
0.48,158,23.7,0.003,24.8,,,
0.54,178,30.1,0.003,24.8,,,
0.6,198,36.2,0.003,24.8,,,
0.66,218,42.1,0.003,24.8,,,
0.72,238,47.4,0.003,24.9,,,
0.78,258,52.7,0.003,24.9,,,
0.84,279,58,0.003,24.9,,,
0.9,299,63.2,0.003,24.9,,,
0.96,316,68.5,0.0035,24.9,,,
1.02,334,74.3,0.003,24.9,,,
1.08,354,80.7,0.003,24.9,,,
1.14,371,87.6,0.0035,24.9,,,
1.2,387,96,0.004,24.9,,,
1.26,404,107,0.0035,25,244.16,2.39,
1.32,420,122.5,0.004,25,299.45,2.48,
1.38,430,145.4,0.0055,25,333.33,2.52,
1.44,438,169.2,0.007,25,323.64,2.51,
1.5,444,184.3,0.009,25,266.01,2.42,
1.53,541,189.9,0.0005,25,216.29,2.34,
1.56,546,194.6,0.0055,25,155.8,2.19,
1.59,552,198.5,0.005,25,116.89,2.07,
1.62,557,201.9,0.006,25,104.98,2.02,
1.65,562,205,0.0055,25,94.49,1.98,
1.68,567,207.7,0.0055,25,85.8,1.93,
1.71,572,210.1,0.0055,25.1,78.6,1.9,
1.74,578,212.4,0.0055,25.1,72.15,1.86,
1.77,583,214.5,0.0065,25.1,66.69,1.82,
1.8,588,216.5,0.006,25.1,62.23,1.79,
1.83,593,218.2,0.006,25.1,58.09,1.76,
1.86,598,219.9,0.006,25.1,54.09,1.73,
1.89,603,221.5,0.006,25.1,50.93,1.71,
1.92,608,223,0.006,25.1,48.29,1.68,
1.95,613,224.4,0.006,25.1,45.81,1.66,
1.98,618,225.7,0.0055,25.1,42.94,1.63,
2.01,623,227,0.0055,25.1,40.8,1.61,
2.04,628,228.2,0.0055,25.1,38.95,1.59,
2.07,634,229.3,0.0055,25.1,37.48,1.57,
2.1,639,230.4,0.0065,25.1,36,1.56,
2.13,644,231.5,0.006,25.1,,,
2.16,649,232.5,0.006,25.1,,,
2.19,654,233.5,0.006,25.1,,,
2.22,659,234.4,0.006,25.1,,,
2.25,664,235.3,0.006,25.1,,,
Scope 1/1, Sample 1/18 (Tank16_Initial_0626_1200),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-77.4,NaN,24.9,,,
0.06,13,-77.4,0.0045,25,,,
0.12,33,-68.2,0.003,25,,,
0.18,53,-56.6,0.003,25,,,
0.24,73,-40.1,0.003,25,,,
0.3,93,-17.6,0.003,25,,,
0.36,114,-0.9,0.003,25,,,
0.42,134,10.3,0.003,25,,,
0.48,154,19.2,0.003,25,,,
0.54,174,27.1,0.003,25.1,,,
0.6,194,34.4,0.003,25.1,,,
0.66,214,41.2,0.003,25.1,,,
0.72,234,47.9,0.003,25.1,,,
0.78,254,54.2,0.003,25.1,,,
0.84,274,60.5,0.003,25.1,,,
0.9,295,67,0.003,25.1,,,
0.96,315,73.8,0.003,25.1,,,
1.02,335,81.2,0.003,25.1,,,
1.08,354,89.5,0.003,25.1,,,
1.14,374,100.2,0.003,25.2,238.52,2.38,
1.2,391,114.6,0.0035,25.2,300.36,2.48,
1.26,404,137.2,0.0045,25.2,345.24,2.54,
1.32,412,163.7,0.007,25.2,347.29,2.54,
1.38,419,181.2,0.0085,25.2,295.08,2.47,
1.41,515,187.4,0.0005,25.2,246.3,2.39,
1.44,521,192.5,0.0055,25.2,178.12,2.25,
1.47,526,196.7,0.0065,25.2,126.77,2.1,
1.5,531,200.4,0.006,25.2,110.55,2.04,
1.53,536,203.6,0.0055,25.2,99.91,2,
1.56,542,206.5,0.0055,25.2,89.9,1.95,
1.59,547,209,0.006,25.2,82.05,1.91,
1.62,552,211.4,0.006,25.2,75.31,1.88,
1.65,557,213.6,0.0055,25.2,69.68,1.84,
1.68,562,215.6,0.0055,25.2,64.37,1.81,
1.71,568,217.5,0.0055,25.2,59.75,1.78,
1.74,573,219.2,0.006,25.2,55.75,1.75,
1.77,578,220.8,0.006,25.2,52.43,1.72,
1.8,583,222.3,0.006,25.2,49.07,1.69,
1.83,588,223.8,0.006,25.3,46.46,1.67,
1.86,593,225.2,0.0055,25.3,44.29,1.65,
1.89,598,226.4,0.0055,25.3,42.28,1.63,
1.92,604,227.6,0.0055,25.3,40.33,1.61,
1.95,609,228.9,0.0065,25.3,38.65,1.59,
1.98,614,230,0.006,25.3,36.95,1.57,
2.01,619,231.1,0.006,25.3,,,
2.04,624,232.1,0.006,25.3,,,
2.07,629,233.1,0.006,25.3,,,
2.1,634,234,0.006,25.3,,,
2.13,639,235,0.006,25.3,,,
Scope 1/1, Sample 1/18 (Junk4),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-71.4,NaN,24.8,,,
0.06,9,-76.1,0.0065,24.7,,,
0.12,29,-66.9,0.003,24.7,,,
0.18,49,-55.4,0.003,24.8,,,
0.24,70,-39,0.003,24.8,,,
0.3,90,-17.4,0.003,24.8,,,
0.36,110,0,0.003,24.8,,,
0.42,130,11.3,0.003,24.8,,,
0.48,150,20.5,0.003,24.8,,,
0.54,170,28.6,0.003,24.8,,,
0.6,190,36.1,0.003,24.8,,,
0.66,210,43.2,0.003,24.9,,,
0.72,231,49.9,0.003,24.9,,,
0.78,251,56.6,0.003,24.9,,,
0.84,256,62.5,0.0125,24.9,,,
0.9,276,69.6,0.003,24.9,,,
0.96,296,77.4,0.003,24.9,,,
1.02,316,85.8,0.003,24.9,,,
1.08,336,95.5,0.003,24.9,,,
1.14,354,108.1,0.0035,24.9,283.66,2.45,
1.2,371,127.1,0.0035,24.9,330.27,2.52,
1.26,381,153.6,0.006,24.9,345.68,2.54,
1.32,388,174.8,0.0085,24.9,312.69,2.5,
1.38,394,187.9,0.0105,24.9,235.99,2.37,
1.41,490,191,0.0005,25,176.64,2.25,
1.44,495,195.5,0.006,25,121.12,2.08,
1.47,500,199.2,0.0055,25,102.43,2.01,
1.5,506,202.5,0.0055,25,99.98,2,
1.53,510,205.4,0.0065,25,96.15,1.98,
1.56,516,208.1,0.0055,25,83.52,1.92,
1.59,521,210.5,0.0065,25,76.44,1.88,
