Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0.84,279,59.7,0.003,25.3,,,
0.9,297,64.5,0.0035,25.3,,,
0.96,315,69.7,0.0035,25.3,,,
1.02,332,75.2,0.0035,25.3,,,
1.08,349,81.2,0.0035,25.3,,,
1.14,366,88.1,0.0035,25.3,,,
1.2,382,96.2,0.004,25.3,,,
1.26,396,106.4,0.004,25.3,230.37,2.36,
1.32,411,120.7,0.004,25.3,286.57,2.46,
1.38,423,142.4,0.005,25.3,324.9,2.51,
1.44,431,166.4,0.0075,25.3,323.17,2.51,
1.5,437,182.4,0.0095,25.3,272.89,2.44,
1.53,533,188.3,0.0005,25.3,226.65,2.36,
1.56,539,193.1,0.005,25.3,166.06,2.22,
1.59,545,197.1,0.0055,25.3,122.81,2.09,
1.62,550,200.7,0.006,25.3,108.44,2.04,
1.65,555,203.9,0.006,25.3,98.3,1.99,
1.68,560,206.7,0.006,25.3,89.14,1.95,
1.71,566,209.2,0.0055,25.3,81.11,1.91,
1.74,571,211.6,0.0065,25.3,74.16,1.87,
1.77,576,213.7,0.0065,25.3,68.17,1.83,
1.8,581,215.7,0.006,25.3,62.69,1.8,
1.83,586,217.5,0.006,25.3,57.88,1.76,
1.86,591,219.2,0.006,25.3,54.04,1.73,
1.89,596,220.7,0.006,25.3,51.42,1.71,
1.92,601,222.2,0.006,25.4,49.14,1.69,
1.95,606,223.7,0.0055,25.4,46.99,1.67,
1.98,611,225.1,0.0055,25.4,44.47,1.65,
2.01,616,226.4,0.0055,25.4,42,1.62,
2.04,622,227.6,0.0055,25.4,39.28,1.59,
2.07,627,228.7,0.0065,25.4,37.08,1.57,
2.1,632,229.8,0.006,25.4,35.8,1.55,
2.13,637,230.9,0.006,25.4,34.81,1.54,
2.16,642,231.9,0.006,25.4,,,
2.19,647,232.9,0.006,25.4,,,
2.22,652,233.9,0.006,25.4,,,
2.25,657,234.8,0.006,25.4,,,
2.28,662,235.7,0.0055,25.4,,,
Scope 1/1, Sample 1/18 (Junk3),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-75,NaN,25.5,,,
0.06,11,-75,0.0055,25.6,,,
0.12,31,-65.7,0.003,25.6,,,
0.18,51,-53.7,0.003,25.6,,,
0.24,71,-36.6,0.003,25.6,,,
0.3,91,-15.6,0.003,25.6,,,
0.36,112,-0.3,0.003,25.6,,,
0.42,132,10.1,0.003,25.6,,,
0.48,152,18.6,0.003,25.6,,,
0.54,172,26.2,0.003,25.6,,,
0.6,192,33,0.003,25.6,,,
0.66,212,39.5,0.003,25.6,,,
0.72,232,45.6,0.003,25.6,,,
0.78,252,51.6,0.003,25.6,,,
0.84,273,57.4,0.003,25.6,,,
0.9,293,63.3,0.003,25.6,,,
0.96,313,69.4,0.003,25.6,,,
1.02,331,75.7,0.0035,25.6,,,
1.08,350,83.1,0.003,25.6,,,
1.14,367,91.1,0.0035,25.6,,,
1.2,384,101.4,0.0035,25.6,234.03,2.37,
1.26,400,116,0.004,25.6,294.99,2.47,
1.32,412,137.8,0.005,25.6,339,2.53,
1.38,421,163.8,0.007,25.6,341.91,2.53,
1.44,427,181.3,0.0095,25.6,291,2.46,
1.47,523,187.3,0.0005,25.6,243.15,2.39,
1.5,529,192.4,0.005,25.6,177.78,2.25,
1.53,534,196.6,0.0055,25.6,126.57,2.1,
1.56,539,200.3,0.0055,25.6,110.27,2.04,
1.59,545,203.5,0.005,25.6,100.63,2,
1.62,550,206.3,0.0055,25.6,90.09,1.95,
1.65,556,209,0.0055,25.6,81.9,1.91,
1.68,561,211.3,0.0055,25.6,74.58,1.87,
1.71,566,213.5,0.0055,25.6,68.84,1.84,
1.74,572,215.4,0.0055,25.6,63.89,1.81,
1.77,577,217.3,0.0065,25.6,59.37,1.77,
1.8,582,219,0.0065,25.6,55.93,1.75,
1.83,587,220.7,0.0065,25.6,52.62,1.72,
1.86,592,222.2,0.006,25.6,49.61,1.7,
1.89,597,223.6,0.006,25.6,46.42,1.67,
1.92,602,225,0.006,25.6,44.33,1.65,
1.95,607,226.3,0.006,25.6,42.29,1.63,
1.98,612,227.5,0.006,25.6,40.47,1.61,
2.01,617,228.7,0.0055,25.6,38.33,1.58,
2.04,622,229.9,0.0055,25.6,36.47,1.56,
2.07,627,230.9,0.0055,25.6,34.95,1.54,
2.1,632,231.9,0.0055,25.6,,,
2.13,638,232.9,0.0055,25.6,,,
2.16,643,233.9,0.006,25.6,,,
2.19,648,234.8,0.006,25.6,,,
2.22,653,235.7,0.006,25.6,,,
Scope 1/1, Sample 1/18 (Tank5_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-50.7,NaN,24.6,,,
0.06,17,-58.6,0.0035,24.5,,,
0.12,38,-45.4,0.003,24.5,,,
0.18,58,-26.6,0.003,24.5,,,
0.24,78,-8.3,0.003,24.6,,,
0.3,98,3.3,0.003,24.6,,,
0.36,118,12.2,0.003,24.6,,,
0.42,138,19.6,0.003,24.6,,,
0.48,158,26.3,0.003,24.6,,,
0.54,178,32.5,0.003,24.6,,,
0.6,198,38.2,0.003,24.6,,,
0.66,219,43.6,0.003,24.6,,,
0.72,239,48.9,0.003,24.7,,,
0.78,259,54.1,0.003,24.7,,,
0.84,279,59.3,0.003,24.7,,,
0.9,299,64.4,0.003,24.7,,,
0.96,319,69.9,0.003,24.7,,,
1.02,337,75.5,0.0035,24.7,,,
1.08,355,81.9,0.0035,24.7,,,
1.14,372,88.9,0.0035,24.7,,,
1.2,390,97.9,0.0035,24.7,,,
1.26,406,109.3,0.004,24.8,257.45,2.41,
1.32,421,126,0.004,24.8,308.51,2.49,
1.38,432,150.5,0.0055,24.8,333.89,2.52,
1.44,439,172.4,0.0085,24.8,313.91,2.5,
1.5,445,186.1,0.01,24.8,249.31,2.4,
1.53,541,191.3,0.0005,24.8,195.86,2.29,
1.56,547,195.7,0.0055,24.8,138.2,2.14,
1.59,552,199.3,0.006,24.8,109.47,2.04,
1.62,558,202.6,0.0055,24.8,99.4,2,
1.65,563,205.4,0.0065,24.8,89.68,1.95,
1.68,568,208,0.006,24.8,81.87,1.91,
1.71,573,210.4,0.006,24.8,75.63,1.88,
1.74,578,212.5,0.006,24.8,69.64,1.84,
1.77,584,214.6,0.005,24.8,64.94,1.81,
1.8,589,216.5,0.006,24.8,60.42,1.78,
1.83,594,218.2,0.006,24.8,56.23,1.75,
1.86,600,219.8,0.0055,24.8,52.27,1.72,
1.89,605,221.4,0.0065,24.8,48.74,1.69,
1.92,610,222.8,0.006,24.8,46.42,1.67,
1.95,615,224.1,0.006,24.9,44.48,1.65,
1.98,620,225.4,0.006,24.9,42.13,1.62,
2.01,625,226.7,0.006,24.9,40.12,1.6,
2.04,630,227.9,0.006,24.9,38.48,1.59,
2.07,635,229,0.006,24.9,36.81,1.57,
2.1,640,230,0.0055,24.9,35.14,1.55,
2.13,646,231.1,0.0055,24.9,33.8,1.53,
2.16,651,232.1,0.0065,24.9,,,
2.19,656,233.1,0.0065,24.9,,,
2.22,661,234,0.006,24.9,,,
2.25,666,234.9,0.006,24.9,,,
2.28,671,235.8,0.006,24.9,,,
Scope 1/1, Sample 1/18 (Tank6_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-60.9,NaN,24.4,,,
0.06,18,-63.7,0.0035,24.4,,,
0.12,38,-52.1,0.003,24.4,,,
0.18,58,-35.4,0.003,24.4,,,
0.24,78,-15,0.003,24.4,,,
0.3,98,-0.7,0.003,24.4,,,
0.36,118,9,0.003,24.4,,,
0.42,138,17,0.003,24.4,,,
0.48,158,24.1,0.003,24.4,,,
0.54,178,30.4,0.003,24.5,,,
0.6,199,36.3,0.003,24.5,,,
0.66,219,42.1,0.003,24.5,,,
0.72,239,47.4,0.003,24.5,,,
0.78,259,52.7,0.003,24.5,,,
0.84,279,57.9,0.003,24.5,,,
0.9,299,63.2,0.003,24.5,,,
0.96,319,68.8,0.003,24.5,,,
1.02,339,74.4,0.003,24.6,,,
1.08,358,80.8,0.003,24.6,,,
1.14,377,88,0.003,24.6,,,
1.2,394,96.5,0.0035,24.6,,,
1.26,408,107.8,0.004,24.6,253.74,2.4,
1.32,424,124.1,0.004,24.6,306.76,2.49,
1.38,435,148.4,0.0055,24.6,335.44,2.53,
1.44,443,171,0.008,24.6,319.1,2.5,
1.5,449,185.2,0.0105,24.6,255.49,2.41,
1.53,545,190.5,0.0005,24.7,202.58,2.31,
1.56,551,194.9,0.005,24.7,143.11,2.16,
1.59,556,198.6,0.006,24.7,111.41,2.05,
1.62,562,202,0.005,24.7,101.06,2,
1.65,568,204.9,0.005,24.7,91.88,1.96,
1.68,573,207.5,0.0055,24.7,83.35,1.92,
1.71,579,209.9,0.0055,24.7,76.1,1.88,
1.74,584,212.1,0.006,24.7,70.16,1.85,
1.77,589,214.2,0.006,24.7,65.56,1.82,
1.8,594,216,0.006,24.7,60.89,1.78,
1.83,599,217.8,0.0055,24.7,56.61,1.75,
1.86,604,219.5,0.0055,24.7,52.74,1.72,
1.89,610,221,0.0055,24.7,49.56,1.7,
1.92,615,222.4,0.0065,24.7,47.15,1.67,
1.95,620,223.8,0.0065,24.7,44.61,1.65,
1.98,625,225.1,0.0065,24.7,42.6,1.63,
2.01,630,226.4,0.006,24.7,41,1.61,
2.04,635,227.6,0.006,24.7,39.34,1.59,
2.07,640,228.7,0.0055,24.7,37.29,1.57,
2.1,645,229.8,0.0055,24.7,35.85,1.55,
2.13,650,230.9,0.0055,24.7,34.14,1.53,
2.16,656,231.9,0.0055,24.7,,,
2.19,661,232.8,0.0065,24.7,,,
2.22,666,233.8,0.0065,24.7,,,
2.25,671,234.6,0.006,24.7,,,
2.28,676,235.5,0.006,24.7,,,
Scope 1/1, Sample 1/18 (Tank7_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-52.2,NaN,24.3,,,
0.06,18,-57.4,0.0035,24.3,,,
0.12,38,-44.1,0.003,24.3,,,
0.18,58,-25.5,0.003,24.3,,,
0.24,78,-7.5,0.003,24.3,,,
0.3,98,3.7,0.003,24.3,,,
0.36,118,12.6,0.003,24.3,,,
0.42,138,19.9,0.003,24.4,,,
0.48,158,26.5,0.003,24.4,,,
0.54,178,32.6,0.003,24.4,,,
0.6,199,38.2,0.003,24.4,,,
0.66,219,43.6,0.003,24.4,,,
0.72,239,48.8,0.003,24.4,,,
0.78,259,53.8,0.003,24.4,,,
0.84,279,58.9,0.003,24.4,,,
0.9,299,64.1,0.003,24.4,,,
0.96,319,69.4,0.003,24.5,,,
1.02,339,75,0.003,24.5,,,
1.08,356,81,0.0035,24.5,,,
1.14,373,88.1,0.0035,24.5,,,
1.2,389,96.5,0.004,24.5,,,
1.26,404,107.3,0.004,24.5,245.41,2.39,
1.32,419,122.9,0.004,24.5,299.87,2.48,
1.38,431,146.3,0.005,24.5,331.57,2.52,
1.44,439,169.5,0.008,24.5,320.64,2.51,
1.5,445,184.2,0.01,24.5,261.81,2.42,
1.53,542,189.7,0.0005,24.6,210.97,2.32,
1.56,547,194.3,0.0055,24.6,150.98,2.18,
1.59,553,198.2,0.005,24.6,115.31,2.06,
1.62,559,201.5,0.0055,24.6,104.02,2.02,
1.65,564,204.6,0.006,24.6,93.5,1.97,
1.68,570,207.2,0.005,24.6,84.46,1.93,
1.71,575,209.7,0.0055,24.6,77.46,1.89,
1.74,581,211.9,0.0055,24.6,71.5,1.85,
1.77,586,213.9,0.0065,24.6,65.84,1.82,
1.8,591,215.9,0.006,24.6,61.26,1.79,
1.83,596,217.7,0.006,24.6,56.69,1.75,
1.86,601,219.3,0.006,24.6,53.43,1.73,
1.89,606,220.8,0.006,24.6,50.09,1.7,
1.92,611,222.3,0.0055,24.6,47.6,1.68,
1.95,616,223.7,0.0055,24.6,45.81,1.66,
1.98,621,225.1,0.0055,24.6,44,1.64,
2.01,626,226.3,0.0055,24.6,41.67,1.62,
2.04,632,227.6,0.0055,24.6,39.14,1.59,
2.07,637,228.7,0.0065,24.6,37.13,1.57,
2.1,642,229.8,0.006,24.6,35.29,1.55,
2.13,647,230.8,0.006,24.6,33.8,1.53,
2.16,652,231.8,0.006,24.6,,,
2.19,657,232.8,0.006,24.6,,,
2.22,662,233.7,0.006,24.6,,,
2.25,667,234.6,0.006,24.6,,,
2.28,672,235.5,0.0055,24.6,,,
Scope 1/1, Sample 1/18 (Tank8_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-62.2,NaN,24.3,,,
0.06,17,-64.6,0.0035,24.3,,,
0.12,38,-53.4,0.003,24.4,,,
0.18,58,-37.4,0.003,24.4,,,
0.24,78,-17,0.003,24.4,,,
0.3,98,-2,0.003,24.4,,,
0.36,118,8,0.003,24.4,,,
0.42,138,16.2,0.003,24.4,,,
0.48,158,23.3,0.003,24.4,,,
0.54,178,29.8,0.003,24.4,,,
0.6,199,35.8,0.003,24.5,,,
0.66,219,41.5,0.003,24.5,,,
0.72,239,46.9,0.003,24.5,,,
0.78,259,52.3,0.003,24.5,,,
0.84,279,57.6,0.003,24.5,,,
0.9,299,63,0.003,24.5,,,
0.96,318,68.3,0.003,24.5,,,
1.02,338,74.3,0.003,24.5,,,
1.08,357,80.6,0.003,24.6,,,
1.14,375,87.7,0.0035,24.6,,,
1.2,391,96.3,0.0035,24.6,,,
1.26,408,107.3,0.0035,24.6,250.3,2.4,
1.32,422,123.2,0.0045,24.6,304.92,2.48,
1.38,432,147.4,0.006,24.6,335.51,2.53,
1.44,440,170.4,0.007,24.6,321.67,2.51,
1.5,447,184.9,0.009,24.6,260.2,2.42,
1.53,543,190.3,0.0005,24.7,207.63,2.32,
1.56,549,194.8,0.0055,24.7,146.97,2.17,
1.59,554,198.6,0.0055,24.7,113.59,2.06,
1.62,559,202,0.0055,24.7,102.65,2.01,
1.65,565,205,0.005,24.7,92.69,1.97,
1.68,570,207.6,0.006,24.7,83.82,1.92,
1.71,575,210,0.006,24.7,76.78,1.89,
1.74,581,212.2,0.005,24.7,70.83,1.85,
1.77,586,214.3,0.006,24.7,65.69,1.82,
1.8,591,216.2,0.006,24.7,61.08,1.79,
1.83,596,218,0.0055,24.7,56.76,1.75,
1.86,601,219.6,0.0055,24.7,53.09,1.72,
1.89,607,221.1,0.005,24.7,49.75,1.7,
1.92,612,222.6,0.006,24.7,46.93,1.67,
1.95,617,224,0.006,24.7,44.8,1.65,
1.98,622,225.3,0.006,24.7,42.63,1.63,
2.01,627,226.5,0.006,24.7,40.46,1.61,
2.04,632,227.7,0.006,24.7,38.47,1.59,
2.07,637,228.9,0.0055,24.7,36.94,1.57,
2.1,642,229.9,0.0055,24.7,35.81,1.55,
2.13,648,231,0.0055,24.7,34.87,1.54,
2.16,653,232,0.0065,24.7,,,
2.19,658,233,0.0065,24.7,,,
2.22,663,234,0.006,24.7,,,
2.25,668,234.9,0.006,24.7,,,
2.28,673,235.7,0.006,24.7,,,
Scope 1/1, Sample 1/18 (Tank9_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-53.1,NaN,24.5,,,
0.06,18,-57.9,0.0035,24.5,,,
0.12,38,-44.8,0.003,24.5,,,
0.18,58,-25.6,0.003,24.6,,,
0.24,78,-7.5,0.003,24.6,,,
0.3,98,3.9,0.003,24.6,,,
0.36,118,12.8,0.003,24.6,,,
0.42,138,20.2,0.003,24.6,,,
0.48,158,26.8,0.003,24.6,,,
0.54,178,32.8,0.003,24.6,,,
0.6,199,38.7,0.003,24.6,,,
0.66,219,44,0.003,24.6,,,
0.72,239,49.4,0.003,24.7,,,
0.78,259,54.5,0.003,24.7,,,
0.84,279,59.8,0.003,24.7,,,
0.9,299,64.9,0.003,24.7,,,
0.96,317,70.2,0.0035,24.7,,,
1.02,336,76.2,0.003,24.7,,,
1.08,353,82.4,0.0035,24.7,,,
1.14,370,89.7,0.0035,24.7,,,
1.2,386,98.6,0.0035,24.7,,,
1.26,403,110.3,0.0035,24.7,260.18,2.42,
1.32,418,127.4,0.004,24.7,310.31,2.49,
1.38,427,152,0.0065,24.7,332.86,2.52,
1.44,435,173.4,0.008,24.8,310.81,2.49,
1.5,441,186.7,0.01,24.8,244.44,2.39,
1.53,538,191.9,0.0005,24.8,190.97,2.28,
1.56,543,196.2,0.006,24.8,135.08,2.13,
1.59,550,199.8,0.0045,24.8,108.44,2.04,
1.62,555,203,0.006,24.8,98.8,1.99,
1.65,561,205.9,0.0055,24.8,88.69,1.95,
1.68,566,208.4,0.006,24.8,81,1.91,
1.71,571,210.7,0.006,24.8,74.65,1.87,
1.74,576,212.9,0.006,24.8,69.02,1.84,
1.77,581,214.9,0.0055,24.8,64.02,1.81,
1.8,587,216.8,0.0055,24.8,59.94,1.78,
1.83,592,218.5,0.006,24.8,55.76,1.75,
1.86,597,220.1,0.006,24.8,52.08,1.72,
1.89,602,221.6,0.006,24.8,48.94,1.69,
1.92,607,223.1,0.006,24.8,46.27,1.67,
1.95,612,224.4,0.0055,24.8,43.95,1.64,
1.98,617,225.7,0.0055,24.8,41.61,1.62,
2.01,622,226.9,0.0055,24.8,39.8,1.6,
2.04,628,228.1,0.0055,24.8,38.48,1.59,
2.07,633,229.2,0.0065,24.8,37.33,1.57,
2.1,638,230.3,0.0065,24.8,35.66,1.55,
2.13,643,231.4,0.006,24.8,,,
2.16,648,232.4,0.006,24.9,,,
2.19,653,233.3,0.006,24.9,,,
2.22,658,234.2,0.006,24.9,,,
2.25,663,235.1,0.006,24.9,,,
Scope 1/1, Sample 1/18 (Tank10_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-60.5,NaN,24.7,,,
0.06,17,-63.1,0.0035,24.7,,,
0.12,38,-51.5,0.003,24.7,,,
0.18,58,-34.9,0.003,24.7,,,
0.24,78,-14.6,0.003,24.7,,,
0.3,98,-0.4,0.003,24.7,,,
0.36,118,9.2,0.003,24.8,,,
0.42,138,17.2,0.003,24.8,,,
0.48,158,24.1,0.003,24.8,,,
0.54,178,30.5,0.003,24.8,,,
0.6,199,36.5,0.003,24.8,,,
0.66,219,42.1,0.003,24.8,,,
0.72,239,47.7,0.003,24.8,,,
0.78,259,52.9,0.003,24.8,,,
0.84,279,58.2,0.003,24.8,,,
0.9,299,63.3,0.003,24.8,,,
0.96,319,68.7,0.003,24.9,,,
1.02,340,74.5,0.003,24.9,,,
1.08,357,80.6,0.0035,24.9,,,
1.14,375,87.8,0.0035,24.9,,,
1.2,392,96.1,0.0035,24.9,,,
1.26,407,106.9,0.004,24.9,245.44,2.39,
1.32,421,122.4,0.0045,24.9,300.88,2.48,
1.38,432,146.1,0.0055,24.9,333.69,2.52,
1.44,440,169.4,0.0075,24.9,323.24,2.51,
1.5,446,184.3,0.0095,24.9,263.8,2.42,
1.53,542,189.9,0.0005,25,212.42,2.33,
1.56,548,194.4,0.0055,25,151.27,2.18,
1.59,553,198.2,0.006,25,115.4,2.06,
1.62,558,201.6,0.0055,25,103.64,2.02,
1.65,564,204.7,0.005,25,94.01,1.97,
1.68,570,207.4,0.0055,25,85.34,1.93,
1.71,575,209.8,0.006,25,77.59,1.89,
1.74,580,212,0.006,25,71.16,1.85,
1.77,585,214.1,0.006,25,66.03,1.82,
1.8,590,216,0.006,25,61.55,1.79,
1.83,595,217.8,0.006,25,57.08,1.76,
1.86,600,219.5,0.006,25,53.27,1.73,
1.89,605,221,0.0055,25,49.71,1.7,
1.92,610,222.4,0.0055,25,47.27,1.67,
1.95,615,223.8,0.0055,25,45.14,1.65,
1.98,620,225.2,0.0055,25,43.27,1.64,
2.01,626,226.4,0.0055,25,41.67,1.62,
2.04,631,227.7,0.0065,25,39.87,1.6,
2.07,636,228.8,0.006,25,37.61,1.58,
2.1,641,229.9,0.0055,25,35.81,1.55,
2.13,646,231,0.0055,25,34.33,1.54,
2.16,651,232,0.0055,25,,,
2.19,656,232.9,0.0055,25,,,
2.22,662,233.9,0.0055,25,,,
2.25,667,234.8,0.0065,25,,,
2.28,672,235.7,0.006,25,,,
Scope 1/1, Sample 1/18 (Tank11_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-63.9,NaN,24.9,,,
0.06,15,-64.8,0.004,24.9,,,
0.12,35,-53.3,0.003,24.9,,,
0.18,56,-37.5,0.003,24.9,,,
0.24,76,-17.1,0.003,24.9,,,
0.3,96,-1.8,0.003,24.9,,,
0.36,116,8.3,0.003,24.9,,,
0.42,136,16.6,0.003,25,,,
0.48,156,23.7,0.003,25,,,
0.54,176,30.1,0.003,25,,,
0.6,196,36.1,0.003,25,,,
0.66,216,41.8,0.003,25,,,
0.72,237,47.2,0.003,25,,,
0.78,257,52.4,0.003,25,,,
0.84,277,57.8,0.003,25,,,
0.9,297,63,0.003,25,,,
0.96,316,68.4,0.003,25,,,
1.02,336,74.2,0.003,25,,,
1.08,354,80.3,0.0035,25.1,,,
1.14,372,87.3,0.0035,25.1,,,
1.2,389,95.7,0.0035,25.1,,,
1.26,405,106.3,0.004,25.1,241.43,2.38,
1.32,420,121.4,0.004,25.1,297.65,2.47,
1.38,431,144.6,0.0055,25.1,332.41,2.52,
1.44,438,168.3,0.008,25.1,324.7,2.51,
1.5,445,183.6,0.009,25.1,268.27,2.43,
1.53,541,189.3,0.0005,25.1,218.2,2.34,
1.56,546,193.9,0.0055,25.1,156.55,2.19,
1.59,552,197.9,0.005,25.1,117.86,2.07,
1.62,557,201.3,0.006,25.1,105.05,2.02,
1.65,562,204.4,0.0055,25.1,94.64,1.98,
1.68,568,207.1,0.0055,25.1,85.8,1.93,
1.71,573,209.5,0.0065,25.1,78.4,1.89,
1.74,578,211.8,0.006,25.1,72.69,1.86,
1.77,583,213.9,0.006,25.1,67.36,1.83,
1.8,588,215.9,0.006,25.1,62.75,1.8,
1.83,593,217.7,0.006,25.2,58.08,1.76,
1.86,598,219.4,0.0055,25.2,54.09,1.73,
1.89,603,220.9,0.0055,25.2,50.76,1.71,
1.92,608,222.4,0.0055,25.2,47.75,1.68,
1.95,614,223.8,0.0055,25.2,45.46,1.66,
1.98,619,225.2,0.0065,25.2,43.29,1.64,
2.01,624,226.4,0.0065,25.2,41.47,1.62,
2.04,629,227.6,0.006,25.2,39.48,1.6,
2.07,634,228.8,0.006,25.2,37.99,1.58,
2.1,639,229.9,0.006,25.2,36.48,1.56,
2.13,644,231,0.006,25.2,35,1.54,
2.16,649,232,0.006,25.2,,,
2.19,654,233,0.006,25.2,,,
2.22,659,233.9,0.0055,25.2,,,
2.25,664,234.8,0.0055,25.2,,,
2.28,670,235.7,0.0055,25.2,,,
Scope 1/1, Sample 1/18 (Tank12_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-54.2,NaN,25,,,
0.06,17,-58.6,0.0035,25.1,,,
0.12,38,-45.7,0.003,25.1,,,
0.18,58,-26.7,0.003,25.1,,,
0.24,78,-8.1,0.003,25.1,,,
0.3,98,3.5,0.003,25.1,,,
0.36,118,12.5,0.003,25.1,,,
0.42,138,20,0.003,25.1,,,
0.48,158,26.6,0.003,25.1,,,
0.54,178,32.7,0.003,25.1,,,
0.6,199,38.4,0.003,25.1,,,
0.66,219,43.9,0.003,25.1,,,
0.72,238,49,0.003,25.1,,,
0.78,257,54.1,0.003,25.2,,,
0.84,278,59.4,0.003,25.2,,,
0.9,295,64.3,0.0035,25.2,,,
0.96,313,69.7,0.0035,25.2,,,
1.02,333,75.7,0.003,25.2,,,
1.08,350,81.9,0.0035,25.2,,,
1.14,368,89.1,0.0035,25.2,,,
1.2,385,97.6,0.0035,25.2,,,
1.26,402,108.9,0.0035,25.2,251.15,2.4,
1.32,417,125,0.004,25.2,304.34,2.48,
1.38,428,148.9,0.0055,25.2,332.65,2.52,
1.44,436,171.5,0.008,25.2,317.16,2.5,
1.5,442,185.7,0.011,25.2,254.9,2.41,
1.53,538,191,0.0005,25.3,203.11,2.31,
1.56,543,195.4,0.006,25.3,144.23,2.16,
1.59,548,199.2,0.0055,25.3,111.99,2.05,
1.62,554,202.5,0.0055,25.3,101.71,2.01,
1.65,560,205.5,0.0055,25.3,92.22,1.96,
1.68,565,208.1,0.0065,25.3,83.86,1.92,
1.71,570,210.5,0.0065,25.3,76.59,1.88,
1.74,575,212.7,0.006,25.3,70.68,1.85,
1.77,580,214.8,0.0055,25.3,65.37,1.82,
1.8,585,216.7,0.0055,25.3,60.88,1.78,
1.83,591,218.4,0.0055,25.3,56.76,1.75,
1.86,596,220.1,0.0065,25.3,53.28,1.73,
1.89,601,221.6,0.006,25.3,50.08,1.7,
1.92,606,223.1,0.0055,25.3,47.28,1.67,
1.95,611,224.5,0.0055,25.3,44.99,1.65,
1.98,616,225.8,0.0055,25.3,42.43,1.63,
2.01,622,227,0.0055,25.3,40.46,1.61,
2.04,627,228.2,0.006,25.3,38.47,1.59,
2.07,632,229.4,0.006,25.3,37.13,1.57,
2.1,637,230.4,0.006,25.3,35.81,1.55,
2.13,642,231.5,0.006,25.3,,,
2.16,647,232.5,0.006,25.3,,,
2.19,652,233.5,0.006,25.3,,,
2.22,657,234.4,0.0055,25.3,,,
2.25,662,235.3,0.0055,25.3,,,
Scope 1/1, Sample 1/18 (Junk4),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-60.9,NaN,25.6,,,
0.06,16,-63.6,0.004,25.7,,,
0.12,36,-52.5,0.003,25.7,,,
0.18,56,-36.5,0.003,25.7,,,
0.24,76,-16.6,0.003,25.7,,,
0.3,96,-1.7,0.003,25.7,,,
0.36,117,8.2,0.003,25.7,,,
0.42,137,16.6,0.003,25.7,,,
0.48,157,23.7,0.003,25.7,,,
0.54,177,30.1,0.003,25.7,,,
0.6,197,36.1,0.003,25.7,,,
0.66,217,41.8,0.003,25.7,,,
0.72,238,47.2,0.003,25.7,,,
0.78,258,52.5,0.003,25.7,,,
0.84,278,57.7,0.003,25.7,,,
0.9,297,63,0.003,25.7,,,
0.96,317,68.2,0.003,25.7,,,
1.02,336,73.9,0.003,25.7,,,
1.08,355,79.9,0.003,25.7,,,
1.14,374,86.9,0.003,25.7,,,
1.2,389,94.9,0.004,25.7,,,
1.26,406,105.2,0.0035,25.7,233.17,2.37,
1.32,421,119.7,0.004,25.7,291.1,2.46,
1.38,433,141.8,0.005,25.7,330.25,2.52,
1.44,441,166.3,0.0075,25.7,328.41,2.52,
1.5,447,182.5,0.0095,25.7,276.37,2.44,
